date,type,distance,time,elev,start,notes
2017-08-16,run,1.8,00:15:06,13,08:08,Broad Street north
2017-08-10,run,1.7,00:14:08,0,17:50,Broad Street south
2017-08-05,run,3.1,00:29:35,115,08:02,Redondo Beach
2017-07-19,run,1.7,00:14:55,13,06:00,Broad Street north
2017-07-11,run,2,00:17:40,10,07:42,daycare to Bainbridge Street
2017-06-29,run,2,00:19:12,10,07:39,daycare to Bainbridge Street
2017-06-27,run,1.8,00:16:58,0,05:00,Broad Street south
2017-06-22,run,1.9,00:16:08,11,07:49,daycare to Bainbridge Street
2017-08-26,bike,36.4,2:26:32,,08:30,Shorefire Century
2017-07-08,bike,30,2:00:00,200,09:00,home to Northwestern Ave on Forbidden Drive
